代码,名称,所属行业
SH600661,昂立教育,教育
SH600662,外服控股,专业服务
SH600663,陆家嘴,房地产开发
SH600664,哈药股份,化学制药
SH600665,天地源,房地产开发
SH600667,太极实业,半导体及元件
SH600668,尖峰集团,建筑材料
SH600673,东阳光,工业金属
SH600674,川投能源,电力
SH600675,中华企业,房地产开发
SH600676,交运股份,综合
SH600678,四川金顶,建筑材料
SH600679,上海凤凰,非汽车交运
SH600681,百川能源,燃气
SH600682,南京新百,生物制品
SH600683,京投发展,房地产开发
SH600684,珠江股份,房地产开发
SH600685,中船防务,国防军工
SH600686,金龙汽车,汽车整车
SH600688,上海石化,石油加工贸易
SH600689,上海三毛,纺织制造
SH600690,海尔智家,白色家电
SH600691,阳煤化工,化学制品
SH600692,亚通股份,房地产开发
SH600693,东百集团,零售
SH600694,大商股份,零售
SH600696,岩石股份,饮料制造
SH600697,欧亚集团,零售
SH600698,湖南天雁,汽车零部件
SH600699,均胜电子,汽车零部件
SH600702,舍得酒业,饮料制造
SH600703,三安光电,光学光电子
SH600704,XD物产中,物流
SH600705,中航产融,保险及其他
SH600706,曲江文旅,景点及旅游
SH600707,彩虹股份,光学光电子
SH600708,光明地产,房地产开发
SH600710,苏美达,贸易
SH600711,盛屯矿业,小金属
SH600712,南宁百货,零售
SH600713,南京医药,医药商业
SH600714,金瑞矿业,化学原料
SH600715,文投控股,传媒
SH600716,凤凰股份,房地产开发
SH600717,天津港,港口航运
SH600718,东软集团,计算机应用
SH600720,祁连山,建筑材料
SH600721,百花医药,医疗服务
SH600722,金牛化工,化学原料
SH600724,宁波富达,建筑材料
SH600725,云维股份,贸易
SH600727,鲁北化工,化学制品
SH600728,佳都科技,计算机应用
SH600729,重庆百货,零售
SH600730,中国高科,教育
SH600731,湖南海利,化学制品
SH600732,爱旭股份,电力设备
SH600733,北汽蓝谷,汽车整车
SH600735,新华锦,家用轻工
SH600736,XD苏州高,房地产开发
SH600737,中粮糖业,农产品加工
SH600738,丽尚国潮,零售
SH600739,辽宁成大,生物制品
SH600740,山西焦化,煤炭开采加工
SH600741,华域汽车,汽车零部件
SH600742,一汽富维,汽车零部件
SH600743,华远地产,房地产开发
SH600744,华银电力,电力
SH600745,闻泰科技,消费电子
SH600746,江苏索普,化学原料
SH600748,上实发展,房地产开发
SH600749,西藏旅游,景点及旅游
SH600750,江中药业,中药
SH600751,海航科技,其他电子
SH600753,东方银星,物流
SH600754,XD锦江酒,酒店及餐饮
SH600755,厦门国贸,物流
SH600756,浪潮软件,计算机应用
SH600757,长江传媒,传媒
